label,width,depth,fps,avgMs,p50,p95,p99,minFps,frames,tiles,drawn
00_baseline,9,26,24.85,40.23,40.07,42.18,43.94,22.76,399,234,237
01_frustum_cull,9,26,25.38,39.41,39.12,41.48,42.69,23.43,407,234,231
diag_gpu_max,9,26,25.21,39.67,39.41,41.45,42.84,23.34,404,233,230
diag_cpu_max,9,26,59.79,16.73,16.66,17.5,18.5,54.05,957,234,231
02_batched_tiles,9,26,59.67,16.76,16.7,18.01,19.2,52.08,956,234,4
probe_13x44,13,44,56.61,17.67,17.45,19.31,20.54,48.69,793,572,4
probe_17x60,17,60,46.72,21.41,21.22,23.29,24.75,40.4,655,1020,4
probe_21x80,21,80,37.84,26.43,26.25,28.43,29.59,33.79,531,1680,4
03_updatecull_17x60,17,60,48.38,20.67,20.55,22.43,23.28,42.96,678,1020,4
02b_batched_check,9,26,59.67,16.76,16.71,18.16,19.87,50.34,956,234,4
diag_cpumax_17x60,17,60,59.77,16.73,16.7,19.64,20.91,47.83,838,1020,4
04_facereduce_17x60,17,60,49.81,20.08,19.89,21.85,23.68,42.23,699,1020,4
05_heavy_pertile_nocull,17,60,6.91,144.68,144.38,147.58,148.7,6.73,111,1020,1023
06_heavy_pertile_cull,17,60,10.19,98.15,97.64,101.26,105.56,9.47,164,1020,663
07_fadein_17x60,17,60,46.05,21.72,21.58,23.41,24.51,40.8,645,1020,4
07b_fadein_9x26,9,26,59.67,16.76,16.69,18.0,19.27,51.88,956,234,4
08_fadein_opt_17x60,17,60,50.26,19.9,19.73,21.56,23.44,42.66,705,1020,4
un_opt_9x26,9,26,59.78,16.73,16.72,19.13,20.82,48.04,718,234,4
un_opt_17x60,17,60,59.86,16.71,16.66,19.87,21.17,47.24,719,1020,4
un_opt_9x26,9,26,59.77,16.73,16.71,19.79,21.49,46.54,718,234,4
un_opt_17x60,17,60,59.84,16.71,16.73,19.9,22.88,43.7,719,1020,4
un_base_9x26,9,26,59.87,16.7,16.76,21.0,24.74,40.42,719,234,237
un_base_17x60,17,60,40.97,24.41,24.33,24.78,25.08,39.87,493,1020,1023
